book,chapter,summary
2,28,"Aaron and his sons are set apart for the priest�s office; Holy garments are appointed; The ephod and girdle; The breast-plate with twelve precious stones; The Urim and Thummim; The robe of the ephod, with pomegranates and bells; The plate of the mitre; The embroidered coat; The garments for Aaron�s sons."
2,29,"The sacrifice and ceremonies of consecrating the priests and the altar; The continual burnt offerings; God�s promise to dwell among the children of Israel."
2,30,"The altar of incense; The ransom of souls; The brazen laver; The holy anointing oil; The composition of the incense."
2,31,"Bezaleel and Aholiab are appointed and qualified for the work of the tabernacle; The observation of the sabbath is again commanded; Moses receives the two tables."
2,32,"The people, in the absence of Moses, cause Aaron to make a calf; God informs Moses, who intercedes for Israel, and prevails; Moses comes down with the tables; He breaks them; He destroys the calf; Aaron�s excuse for himself; Moses causes the idolaters to be slain; He prays for the people."
2,33,"The Lord refuses to go as he had promised with the people; The people mourn thereat; The tabernacle is removed out of the camp; The Lord talks familiarly with Moses; Moses prevails with God, and desires to see his glory."
2,34,"The tables are renewed; The name of the LORD proclaimed; Moses entreats God to go with them; God makes a covenant with them, repeating certain duties of the first table; Moses, after forty days in the mount, comes down with the tables; His face shines, and he covers it with a vail."
2,35,"The sabbath; The free gifts for the tabernacle; The readiness of the people to offer; Bezaleel and Aholiab are called to the work."
2,36,"The offerings are delivered to the workmen; The liberality of the people is restrained; The curtains with cherubims; The curtains of goats� hair; The covering of skins; The boards with their sockets; The bars; The vail; The hanging for the door."
2,37,"The ark and mercy seat with cherubims made; The table of shew-bread with its vessels; The candlestick with its lamps and instruments; The altar of incense; The anointing oil and sweet incense."
2,38,"The altar of burnt offering; The laver of brass; The court, and its hangings; The sum of what the people offered, and the use to which it was applied."
2,39,"The cloths of service and holy garments; The ephod; The breast-plate; The robe of the ephod; The coats, mitre, and girdle of fine linen; The plate of the holy crown; All is finished, reviewed, and approved by Moses."
2,40,"The tabernacle is commanded to be reared, anointed, and consecrated; Aaron and his sons to be sanctified; Moses performs all things accordingly; A cloud covers the tabernacle."
3,1,"The law of burnt offerings; of the herd; of the flocks; of the fowls."
3,2,"The meat offering of flour with oil and incense, either baked in the oven, or on a plate, or in a frying-pan; The first fruits not to be burnt on the altar; Salt to be used with every offering; The offering of first fruits in the ear."
3,3,"The peace offering of the herd; of the flock; whether a lamb, or a goat; A prohibition to eat fat or blood."
3,4,"The sin offering of ignorance; for the priest; for the congregation; for the ruler; for any of the people."
3,5,"He that sins in concealing his knowledge; in touching an unclean thing; or in making an oath; His trespass offering, of the flock; of fowls; or of flour; The trespass offering in sacrilege; and in sins of ignorance."
3,6,"The trespass offering for sins done wittingly; The law of the burnt offering; and of the meat offering; The offering at the consecration of a priest; The law of the sin offering."
3,7,"The law of the trespass offering; and of the peace offering; whether it be for a thanksgiving; or a vow, or a free will offering; The fat and the blood are forbidden; The priests� portion in the peace offerings; The whole summed up."
3,8,"Moses consecrates Aaron and his sons; Their sin offering; Their burnt offering; The ram of consecration; The place and time of their consecration."
3,9,"The first offerings of Aaron, for himself and the people; The sin offering, and the burnt offering for himself; The offerings for the people; Moses and Aaron bless the people; Fire comes from the Lord, upon the altar."
3,10,"Nadab and Abihu, for offering strange fire, are burnt by fire; Aaron and his sons are forbidden to mourn for them; The priests are forbidden wine when they are to go into the tabernacle; The law of eating the holy things; Aaron�s excuse for transgressing thereof."
3,11,"What beasts may; and what may not be eaten; What fishes; What fowls; The creeping things which are unclean."
3,12,"The purification of a woman after childbirth; Her offerings for her purifying."
3,13,"The laws and tokens whereby the priest is to be guided in discerning the leprosy."
3,14,"The rites and sacrifices in cleansing the leper; The signs of leprosy in a house; The cleansing of that house."
3,15,"The uncleanness of men in their issues; The cleansing of them; The uncleanness of women in their issues; Their cleansing."
3,16,"How the high priest must enter into the holy place; The sin offering for himself; The sin offering for the people; The scape-goat; The yearly feast of the expiations."
3,17,"The blood of all slain beasts must be offered to the Lord at the door of the tabernacle; They must not offer to devils; All eating of blood is forbidden; and of all that dies by itself, or is torn."
3,18,"Unlawful marriages, and unlawful lusts."
3,19,"A repetition of sundry laws."
3,20,"Of him that gives of his seed to Moloch; Of him that favours such an one; Of going to wizards; Of sanctification; Of him that curses his parents; Of adultery; Of incest; Of sodomy; Of bestiality; Of uncleanness; Obedience is required with holiness; Wizards must be put to death."
3,21,"Of the priests� mourning; Of their holiness; Of their marriages; Of their estimation; Of the priest�s daughter convicted of whoredom; Of the high priest�s holiness; Of his marriage; The priests that have blemishes must not minister in the sanctuary."
3,22,"The priests in their uncleanness must abstain from the holy things; How they shall be cleansed; Who of the priest�s house may eat of the holy things; The sacrifices must be without blemish; The age of the sacrifice; The law of eating the sacrifice of thanksgiving."
3,23,"The feasts of the Lord; The sabbath; The passover; The sheaf of first-fruits; The feast of Pentecost; Gleanings to be left for the poor; The feast of trumpets; The day of atonement; The feast of tabernacles."
3,24,"The oil for the lamps; The shew-bread; Shelomith�s son blasphemeth; The law of blasphemy; Of murder; Of damage; The blasphemer is stoned."
3,25,"The sabbath of the seventh year; The jubilee in the fiftieth year; Of oppression; A blessing of obedience; The redemption of land; Of houses; Compassion to the poor; The usage of bondmen; The redemption of servants."
3,26,"Of idolatry; Religiousness; A blessing to them that keep the commandments; A curse to those that break them; God promises to remember them that repent."
3,27,"He that makes a singular vow must be the Lord�s; The estimation of the person; of a beast given by vow; of a house; of a field, and the redemption thereof; No devoted thing may be redeemed; The tithe may not be changed."
4,1,"God commands Moses to number the people; The princes of the tribes; The number of every tribe; The Levites are exempted for the service of the Lord."
4,2,"The order of the tribes in their tents."
4,3,"The sons of Aaron; The Levites are given to the priests instead of the first-born; are numbered by their families; The families, number, and charge of the Gershonites; of the Kohathites; of the Merarites; The place and charge of Moses and Aaron; The first-born are freed by the Levites; The overplus are redeemed."
4,4,"The age at which the Levites were to begin to serve, and the duration of the service; The duty of the Kohathites; The charge of Eleazar; The office of the priests; The duty of the Gershonites; of the Merarites; The number of the Kohathites; of the Gershonitesand of the Merarites."
4,5,"The unclean are removed out of camp; Restitution is to be made in trespass; The trial of jealousy."
4,6,"The law of the Nazarite in the days of his separation; and after their completion; The form of blessing the people."
4,7,"The offering of the princes at the dedication of the tabernacle; Their several offerings at the dedication of the altar; God speaks to Moses from the mercy seat."
4,8,"How the lamps are to be lighted; The consecration of the Levites; The age and time of their service."
4,9,"The passover is again commanded; A second passover for the unclean or absent; The cloud directs the removals and encampments of the Israelites."
4,10,"The use of the silver trumpets; The Israelites remove from Sinai to Paran; The order of their march; Hobab is entreated by Moses not to leave them; The blessing of Moses at the removing and resting of the ark."
4,11,"The burning at Taberah quenched by Moses� prayer; The people lust for flesh, and loathe manna; Moses complains of his charge; God promises to divide his burden unto seventy elders, and to give the people flesh for a month; Moses� faith is staggered; Quails are given in wrath at Kibroth-hattaavah."
4,12,"God rebukes the sedition of Miriam and Aaron; Miriam�s leprosy is healed at the prayer of Moses; God commands her to be shut out of the host; The people encamp in the wilderness of Paran."
4,13,"The names of the men who were sent to search the land; Their instructions; Their acts; Their relation."
4,14,"The people murmur at the news; Joshua and Caleb labour to still them; v."
4,15,"The law of the meat offering, and the drink offering; The stranger is under the same law; The law of the first of the dough for an heave offering; The sacrifice for sins of ignorance; The punishment of presumption; He that violated the sabbath is stoned; The law of fringes."
4,16,"The rebellion of Korah, Dathan, and Abiram; Moses separates the people from the rebels� tents; The earth swallows up Korah, and a fire consumes others; The censers are reserved to holy use; Fourteen thousand and seven hundred are slain by a plague, for murmuring against Moses and Aaron; Aaron by incense stays the plague."
4,17,"Aaron, s rod, among all the rods of the tribes, only flourishes; It is left for a monument against the rebels."
4,18,"The charge of the priests and Levites; The priests� portion; The Levites� portion; The heave offering to the priests out of the Levites� portion."
4,19,"The water of separation made of the ashes of a red heifer; The law for the use of it in purification of the unclean."
4,20,"The children of Israel come to Zin, where Miriam dies; They murmur for want of water; Moses smiting the rock, brings forth water at Meribah; Moses at Kadesh desires passage through Edom, which is denied him; At mount Hor Aaron resigns his place to Eleazar, and dies."
4,21,"Israel destroys the Canaanites at Hormah; The people murmuring are plagued with fiery serpents; They repenting are healed by a brazen serpent; Sundry journeys of the Israelites; Sihon is overcome, and Og."
4,22,"Balak�s first message for Balaam is refused; His second message obtains him; An angel would have slain him, if he had not been saved by his ass; Balak entertains him."
4,23,"Balak�s sacrifices; Balaam�s parables; Balak�s sacrifices; Balaam�s parables; Balak�s sacrifices."
4,24,"Balaam, leaving divinations, prophesies the happiness of Israel; Balak, in anger, dismisses him; He prophesies of the Star of Jacob, and the destruction of some nations."
4,25,"Israel at Shittim commit whoredom and idolatry; Phinehas kills Zimri and Cozbi; God therefore gives him an everlasting priesthood; The Midianites are to be vexed."
4,26,"The sum of all Israel is taken in the plains of Moab; The law of dividing among them the inheritance of the land; The families and number of the Levites; None was left of them which were numbered at Sinai, but Caleb and Joshua."
4,27,"The daughters of Zelophehad sue for an inheritance; The law of inheritances; Moses, being told of his death, sues for a successor; Joshua is appointed to succeed him."
4,28,"Offerings are to be observed; The continual burnt offering; The offering on the sabbath; on the new moons; at the passover; in the day of the first-fruits."
4,29,"The offering at the feast of trumpets; at the day of afflicting their souls; and on the eight days of the feast of tabernacles."
4,30,"Vows are not to be broken; The exceptions of a maid�s vows; of a wife�s; of a widow�s; or her that is divorced."
4,31,"The Midianites are spoiled, and Balaam slain; Moses is wroth with the officers, for saving the women alive; How the soldiers, with their captives and spoil, are to be purified; The proportion in which the prey is to be divided; The voluntary oblation unto the treasury of the Lord."
4,32,"The Reubenites and Gadites sue for their inheritance on the east side of Jordan; Moses reproves them; They offer him conditions with which he is content; Moses assigns them the land; They conquer it."
4,33,"The two and forty journeys of the Israelites; The Canaanites are to be destroyed."
4,34,"The borders of the land; The names of the men who shall divide the land."
4,35,"Eight and forty cities for the Levites, with their suburbs, and measure thereof; Six of them are to be cities of refuge; The laws of murder and manslaughter; No satisfaction for murder."
4,36,"The inconvenience of the inheritance of daughters is remedied by marrying in their own tribes, lest the inheritance should be removed from the tribe; The daughters of Zelophehad marry their father�s brothers� sons."
5,1,"Moses� speech in the end of the fortieth year; briefly rehearsing the history of God�s sending them from Horeb; of giving them officers; of sending the spies to search the land; of his anger for their incredulity; and disobedience."
5,2,"The story is continued, that they were not to meddle with the Edomites; nor with the Moabites; nor with the Ammonites; but Sihon the Amorite was subdued by them."
5,3,"The conquest of Og, king of Bashan; The size of his bed; The distribution of his lands to the two tribes and half; Moses prays to enter into the land; He is permitted to see it."
5,4,"An exhortation to obedience; Moses appoints the three cities of refuge on that side of Jordan; Recapitulation."
5,5,"The covenant in Horeb; The ten commandments; At the people�s request Moses receives the law from God."
5,6,", The end of the law is obedience; � an exhortation thereto; � what they are to teach their children."
5,7,"All communion with the nations is forbidden; for fear of idolatry; for the holiness of the people; for the nature of God in his mercy and justice; for the assuredness of victory which God will give over them."
5,8,"An exhortation to obedience in regard of God�s mercy and goodness in his dealings with Israel."
5,9,"Moses dissuades them from the opinion of their own righteousness, by rehearsing their several rebellions."
5,10,"God�s mercy in restoring the two tables; in continuing the priesthood; in separating the tribe of Levi; in hearkening unto Moses� suit for his people; An exhortation to obedience."
5,11,"An exhortation to obedience; by their own experience of God�s great works; by promise of God�s great blessings; and by threatenings; A careful study is required in God�s words; The blessing and curse set before them."
5,12,"Monuments of idolatry are to be destroyed; The place of God�s service to be kept; Blood is forbidden; Blood is forbidden; Holy things must be eaten in the holy place; Holy things must be eaten in the holy place; The Levite is not to be forsaken; Blood is forbidden; Holy things must be eaten in the holy place; Idolatry is not to be enquired after."
5,13,"Enticers to idolatry; how near soever unto thee; are to be stoned to death; Idolatrous cities are not to be spared."
5,14,"God�s children are not to disfigure themselves in mourning; What may, and what may not be eaten; of beasts; of fishes; of fowls; That which dieth of itself may not be eaten; Tithes of divine service; Tithes and firstlings to be eaten before the Lord; The third year�s tithe of alms and charity."
5,15,"The seventh year a year of release for the poor; It must be no let of lending or giving; An Hebrew servant, except he will not depart, must in the seventh year go forth free and well furnished; All firstling males of the cattle are to be sanctified unto the Lord."
5,16,"The feast of the passover, of weeks, of tabernacles; Every male must offer, as he is able, at these three feasts; Of judges and justice; Groves and images are forbidden."
5,17,"The things sacrificed must be sound; Idolaters must be slain; Hard controversies are to be determined by the priests and judges; The contemner of that determination must die; The election; and duty of a king."
5,18,"The LORD is the priests and Levites� inheritance; The priests� due; The Levites� portion; The abominations of the nations are to be avoided; Christ the Prophet is to be heard; The presumptuous prophet is to die."
5,19,"The cities of refuge; The privilege thereof for the manslayer; The land-mark is not to be removed; Two witnesses at the least are required; The punishment of a false witness."
5,20,"The priest�s exhortation to encourage the people to battle; The officers� proclamation of who are to be dismissed from the war; How to use the cities that accept or refuse the proclamation of peace; What cities must be devoted; Trees of man�s meat must not be destroyed in the siege."
